# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2087193	2088293	-	WP_012303050.1	WP_012303050.1		DUF2892 domain-containing protein			DAUD_RS10050	1101	366	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2088402	2089187	-							DAUD_RS10055	786		old_locus_tag=Daud_1985
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2088402	2089187	-	WP_012303051.1	WP_012303051.1		methyltransferase domain-containing protein			DAUD_RS10055	786	261	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2089191	2090552	-							DAUD_RS10060	1362		old_locus_tag=Daud_1986
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2089191	2090552	-	WP_012303052.1	WP_012303052.1		radical SAM protein			DAUD_RS10060	1362	453	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2090576	2091625	-					selD		DAUD_RS10065	1050		old_locus_tag=Daud_1987
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2090576	2091625	-	WP_083756668.1	WP_083756668.1		selenide, water dikinase SelD	selD		DAUD_RS10065	1050	349	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2091736	2092629	+							DAUD_RS11715	894		old_locus_tag=Daud_1988
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2091736	2092629	+	WP_012303054.1	WP_012303054.1		LysR family transcriptional regulator			DAUD_RS11715	894	297	
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2092884	2093066	+							DAUD_RS12585	183		partial;pseudo
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2092884	2093066	+				hypothetical protein			DAUD_RS12585	183		partial;pseudo
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2093802	2093877	+							DAUD_RS10085	76		old_locus_tag=Daud_R0054
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2093802	2093877	+				tRNA-Ala			DAUD_RS10085	76		anticodon=CGC
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2094659	2094838	+							DAUD_RS10090	180		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2094659	2094838	+	WP_041570945.1	WP_041570945.1		hypothetical protein			DAUD_RS10090	180	59	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2094847	2095167	-							DAUD_RS10095	321		old_locus_tag=Daud_1990
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2094847	2095167	-	WP_041570946.1	WP_041570946.1		hypothetical protein			DAUD_RS10095	321	106	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2095417	2096301	-							DAUD_RS10100	885		old_locus_tag=Daud_1991
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2095417	2096301	-	WP_012303057.1	WP_012303057.1		radical SAM protein			DAUD_RS10100	885	294	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2097215	2097586	+							DAUD_RS10110	372		old_locus_tag=Daud_1993
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2097215	2097586	+	WP_049752618.1	WP_049752618.1		hypothetical protein			DAUD_RS10110	372	123	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2097559	2098350	-							DAUD_RS12145	792		old_locus_tag=Daud_1994
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2097559	2098350	-	WP_012303060.1	WP_012303060.1		anaerobic ribonucleoside-triphosphate reductase activating protein			DAUD_RS12145	792	263	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2098347	2100476	-							DAUD_RS10120	2130		old_locus_tag=Daud_1995
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2098347	2100476	-	WP_012303061.1	WP_012303061.1		ribonucleoside triphosphate reductase			DAUD_RS10120	2130	709	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2100537	2102801	-					metE		DAUD_RS10125	2265		old_locus_tag=Daud_1996
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2100537	2102801	-	WP_012303062.1	WP_012303062.1		5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	metE		DAUD_RS10125	2265	754	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2103462	2104229	-							DAUD_RS10130	768		old_locus_tag=Daud_1997
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2103462	2104229	-	WP_049752668.1	WP_049752668.1		SIMPL domain-containing protein			DAUD_RS10130	768	255	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2104295	2104513	-							DAUD_RS12590	219		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2104295	2104513	-	WP_166485183.1	WP_166485183.1		hypothetical protein			DAUD_RS12590	219	72	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2104657	2104950	+							DAUD_RS10135	294		old_locus_tag=Daud_1998
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2104657	2104950	+	WP_166485255.1	WP_166485255.1		LysM peptidoglycan-binding domain-containing protein			DAUD_RS10135	294	97	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2105255	2105800	+							DAUD_RS10140	546		old_locus_tag=Daud_1999
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2105255	2105800	+	WP_041570948.1	WP_041570948.1		hypothetical protein			DAUD_RS10140	546	181	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2106048	2106905	+							DAUD_RS10145	858		old_locus_tag=Daud_2000
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2106048	2106905	+	WP_012303066.1	WP_012303066.1		cation transporter			DAUD_RS10145	858	285	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2107194	2108078	+							DAUD_RS10150	885		old_locus_tag=Daud_2001
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2107194	2108078	+	WP_012303067.1	WP_012303067.1		hypothetical protein			DAUD_RS10150	885	294	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2108190	2110115	+							DAUD_RS10155	1926		old_locus_tag=Daud_2002
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2108190	2110115	+	WP_012303068.1	WP_012303068.1		CBS domain-containing protein			DAUD_RS10155	1926	641	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2110139	2110882	+							DAUD_RS10160	744		old_locus_tag=Daud_2003
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2110139	2110882	+	WP_012303069.1	WP_012303069.1		3'-5' exonuclease			DAUD_RS10160	744	247	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2111074	2111304	-							DAUD_RS10165	231		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2111074	2111304	-	WP_041570951.1	WP_041570951.1		hypothetical protein			DAUD_RS10165	231	76	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2111307	2112602	+							DAUD_RS10170	1296		old_locus_tag=Daud_2004
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2111307	2112602	+	WP_012303070.1	WP_012303070.1		HlyC/CorC family transporter			DAUD_RS10170	1296	431	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2112670	2113071	-							DAUD_RS10175	402		old_locus_tag=Daud_2005
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2112670	2113071	-	WP_012303071.1	WP_012303071.1		hypothetical protein			DAUD_RS10175	402	133	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2113099	2113536	-							DAUD_RS10180	438		old_locus_tag=Daud_2006
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2113099	2113536	-	WP_012303072.1	WP_012303072.1		hypothetical protein			DAUD_RS10180	438	145	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2113684	2115327	-					groL		DAUD_RS10185	1644		old_locus_tag=Daud_2007
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2113684	2115327	-	WP_012303073.1	WP_012303073.1		chaperonin GroEL	groL		DAUD_RS10185	1644	547	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2115381	2115665	-							DAUD_RS10190	285		old_locus_tag=Daud_2008
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2115381	2115665	-	WP_012303074.1	WP_012303074.1		co-chaperone GroES			DAUD_RS10190	285	94	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2115988	2116185	-							DAUD_RS10195	198		old_locus_tag=Daud_2009
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2115988	2116185	-	WP_012303075.1	WP_012303075.1		hypothetical protein			DAUD_RS10195	198	65	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2116279	2117025	+							DAUD_RS11725	747		old_locus_tag=Daud_2010
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2116279	2117025	+	WP_012303076.1	WP_012303076.1		formate dehydrogenase accessory sulfurtransferase FdhD			DAUD_RS11725	747	248	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2116985	2117533	-							DAUD_RS10205	549		old_locus_tag=Daud_2011
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2116985	2117533	-	WP_041571368.1	WP_041571368.1		5-formyltetrahydrofolate cyclo-ligase			DAUD_RS10205	549	182	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2117565	2118581	-					tsaD		DAUD_RS10210	1017		old_locus_tag=Daud_2012
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2117565	2118581	-	WP_012303078.1	WP_012303078.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	tsaD		DAUD_RS10210	1017	338	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2119128	2119424	+							DAUD_RS10215	297		old_locus_tag=Daud_2013
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2119128	2119424	+	WP_012303079.1	WP_012303079.1		zinc-binding protein			DAUD_RS10215	297	98	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2119844	2120326	-					rimI		DAUD_RS10220	483		old_locus_tag=Daud_2014
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2119844	2120326	-	WP_012303080.1	WP_012303080.1		ribosomal protein S18-alanine N-acetyltransferase	rimI		DAUD_RS10220	483	160	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2120323	2121039	-					tsaB		DAUD_RS10225	717		old_locus_tag=Daud_2015
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2120323	2121039	-	WP_012303081.1	WP_012303081.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB		DAUD_RS10225	717	238	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2121036	2121512	-					tsaE		DAUD_RS10230	477		old_locus_tag=Daud_2016
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2121036	2121512	-	WP_012303082.1	WP_012303082.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE		DAUD_RS10230	477	158	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2121518	2122531	-					thiL		DAUD_RS10235	1014		old_locus_tag=Daud_2017
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2121518	2122531	-	WP_012303083.1	WP_012303083.1		thiamine-phosphate kinase	thiL		DAUD_RS10235	1014	337	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2122710	2124008	-					thiC		DAUD_RS10240	1299		old_locus_tag=Daud_2018
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2122710	2124008	-	WP_012303084.1	WP_012303084.1		phosphomethylpyrimidine synthase ThiC	thiC		DAUD_RS10240	1299	432	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2124009	2125067	-							DAUD_RS10245	1059		old_locus_tag=Daud_2019
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2124009	2125067	-	WP_012303085.1	WP_012303085.1		thiamine phosphate synthase			DAUD_RS10245	1059	352	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2125478	2126641	-							DAUD_RS10250	1164		old_locus_tag=Daud_2020
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2125478	2126641	-	WP_012303086.1	WP_012303086.1		amidohydrolase			DAUD_RS10250	1164	387	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2126655	2127407	-							DAUD_RS10255	753		old_locus_tag=Daud_2021
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2126655	2127407	-	WP_012303087.1	WP_012303087.1		gamma-glutamyl-gamma-aminobutyrate hydrolase family protein			DAUD_RS10255	753	250	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2127516	2127788	+							DAUD_RS10260	273		old_locus_tag=Daud_2022
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2127516	2127788	+	WP_083756671.1	WP_083756671.1		spore coat protein			DAUD_RS10260	273	90	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2127951	2129366	-					glnA		DAUD_RS10265	1416		old_locus_tag=Daud_2023
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2127951	2129366	-	WP_083756706.1	WP_083756706.1		type I glutamate--ammonia ligase	glnA		DAUD_RS10265	1416	471	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2129525	2130265	-							DAUD_RS10270	741		old_locus_tag=Daud_2024
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2129525	2130265	-	WP_012303089.1	WP_012303089.1		hypothetical protein			DAUD_RS10270	741	246	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2130393	2131985	-							DAUD_RS10275	1593		old_locus_tag=Daud_2025
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2130393	2131985	-	WP_012303090.1	WP_012303090.1		4Fe-4S binding protein			DAUD_RS10275	1593	530	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2131982	2133061	-							DAUD_RS10280	1080		old_locus_tag=Daud_2026
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2131982	2133061	-	WP_012303091.1	WP_012303091.1		glutamine amidotransferase family protein			DAUD_RS10280	1080	359	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2133238	2134569	-					glnA		DAUD_RS10285	1332		old_locus_tag=Daud_2027
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2133238	2134569	-	WP_012303092.1	WP_012303092.1		type I glutamate--ammonia ligase	glnA		DAUD_RS10285	1332	443	
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2134809	2135378	-							DAUD_RS10290	570		partial;pseudo;old_locus_tag=Daud_2028
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2134809	2135378	-				ANTAR domain-containing protein			DAUD_RS10290	570		partial;pseudo
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2135596	2137173	-							DAUD_RS10295	1578		old_locus_tag=Daud_2029
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2135596	2137173	-	WP_012303094.1	WP_012303094.1		glutamate synthase			DAUD_RS10295	1578	525	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2137247	2138578	-							DAUD_RS10300	1332		old_locus_tag=Daud_2030
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2137247	2138578	-	WP_041571374.1	WP_041571374.1		glutamine synthetase			DAUD_RS10300	1332	443	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2138729	2139325	-							DAUD_RS10305	597		old_locus_tag=Daud_2031
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2138729	2139325	-	WP_012303096.1	WP_012303096.1		ANTAR domain-containing protein			DAUD_RS10305	597	198	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2139387	2140235	-							DAUD_RS10310	849		old_locus_tag=Daud_2032
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2139387	2140235	-	WP_049752620.1	WP_049752620.1		hypothetical protein			DAUD_RS10310	849	282	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2140241	2141770	-					pabB		DAUD_RS10315	1530		old_locus_tag=Daud_2033
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2140241	2141770	-	WP_012303098.1	WP_012303098.1		aminodeoxychorismate synthase component I	pabB		DAUD_RS10315	1530	509	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2141960	2143120	-							DAUD_RS10320	1161		old_locus_tag=Daud_2034
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2141960	2143120	-	WP_012303099.1	WP_012303099.1		MFS transporter			DAUD_RS10320	1161	386	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2143354	2144391	+					mnmA		DAUD_RS10325	1038		old_locus_tag=Daud_2035
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2143354	2144391	+	WP_041570952.1	WP_041570952.1		tRNA 2-thiouridine(34) synthase MnmA	mnmA		DAUD_RS10325	1038	345	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2144372	2145487	-							DAUD_RS10330	1116		old_locus_tag=Daud_2036
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2144372	2145487	-	WP_012303101.1	WP_012303101.1		hypothetical protein			DAUD_RS10330	1116	371	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2145837	2146985	-							DAUD_RS10335	1149		old_locus_tag=Daud_2037
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2145837	2146985	-	WP_041570953.1	WP_041570953.1		anti-sigma factor domain-containing protein			DAUD_RS10335	1149	382	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2146945	2147655	-					sigI		DAUD_RS10340	711		old_locus_tag=Daud_2038
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2146945	2147655	-	WP_012303103.1	WP_012303103.1		RNA polymerase sigma factor SigI	sigI		DAUD_RS10340	711	236	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2147792	2148472	+							DAUD_RS10345	681		old_locus_tag=Daud_2039
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2147792	2148472	+	WP_012303104.1	WP_012303104.1		Crp/Fnr family transcriptional regulator			DAUD_RS10345	681	226	
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2148594	2148941	+							DAUD_RS12595	348		partial;pseudo
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2148594	2148941	+				4Fe-4S binding protein			DAUD_RS12595	348		partial;pseudo
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2148915	2149085	-							DAUD_RS12600	171		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2148915	2149085	-	WP_166485256.1	WP_166485256.1		4Fe-4S binding protein			DAUD_RS12600	171	56	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2149611	2150918	+							DAUD_RS10355	1308		old_locus_tag=Daud_2041
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2149611	2150918	+	WP_012303106.1	WP_012303106.1		replication-associated recombination protein A			DAUD_RS10355	1308	435	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2150938	2152020	-							DAUD_RS11730	1083		old_locus_tag=Daud_2042
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2150938	2152020	-	WP_049752621.1	WP_049752621.1		hypothetical protein			DAUD_RS11730	1083	360	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2152312	2154888	+					adhE		DAUD_RS10365	2577		old_locus_tag=Daud_2043
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2152312	2154888	+	WP_012303108.1	WP_012303108.1		bifunctional acetaldehyde-CoA/alcohol dehydrogenase	adhE		DAUD_RS10365	2577	858	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2154951	2155181	-							DAUD_RS10370	231		old_locus_tag=Daud_2044
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2154951	2155181	-	WP_012303109.1	WP_012303109.1		hypothetical protein			DAUD_RS10370	231	76	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2155666	2156592	-							DAUD_RS10375	927		old_locus_tag=Daud_2045
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2155666	2156592	-	WP_012303110.1	WP_012303110.1		GTPase Era			DAUD_RS10375	927	308	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2156589	2157086	-							DAUD_RS11735	498		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2156589	2157086	-	WP_083756710.1	WP_083756710.1		cytidine deaminase			DAUD_RS11735	498	165	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2157451	2159628	-							DAUD_RS10385	2178		old_locus_tag=Daud_2047
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2157451	2159628	-	WP_012303112.1	WP_012303112.1		HDIG domain-containing protein			DAUD_RS10385	2178	725	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2159637	2160608	-							DAUD_RS10390	972		old_locus_tag=Daud_2048
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2159637	2160608	-	WP_012303113.1	WP_012303113.1		PhoH family protein			DAUD_RS10390	972	323	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2160643	2161860	-					yqfD		DAUD_RS10395	1218		old_locus_tag=Daud_2049
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2160643	2161860	-	WP_012303114.1	WP_012303114.1		sporulation protein YqfD	yqfD		DAUD_RS10395	1218	405	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2161952	2162233	-					yqfC		DAUD_RS10400	282		old_locus_tag=Daud_2050
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2161952	2162233	-	WP_012303115.1	WP_012303115.1		sporulation protein YqfC	yqfC		DAUD_RS10400	282	93	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2162386	2162565	-							DAUD_RS10405	180		old_locus_tag=Daud_2051
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2162386	2162565	-	WP_012303116.1	WP_012303116.1		30S ribosomal protein S21			DAUD_RS10405	180	59	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2162641	2162985	-							DAUD_RS10410	345		old_locus_tag=Daud_2052
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2162641	2162985	-	WP_012303117.1	WP_012303117.1		histidine triad nucleotide-binding protein			DAUD_RS10410	345	114	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2163008	2164360	-					mtaB		DAUD_RS10415	1353		old_locus_tag=Daud_2053
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2163008	2164360	-	WP_012303118.1	WP_012303118.1		tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB	mtaB		DAUD_RS10415	1353	450	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2164423	2165172	-							DAUD_RS10420	750		old_locus_tag=Daud_2054
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2164423	2165172	-	WP_012303119.1	WP_012303119.1		16S rRNA (uracil(1498)-N(3))-methyltransferase			DAUD_RS10420	750	249	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2165169	2166029	-					prmA		DAUD_RS10425	861		old_locus_tag=Daud_2055
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2165169	2166029	-	WP_012303120.1	WP_012303120.1		50S ribosomal protein L11 methyltransferase	prmA		DAUD_RS10425	861	286	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2166201	2167325	-					dnaJ		DAUD_RS10430	1125		old_locus_tag=Daud_2056
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2166201	2167325	-	WP_012303121.1	WP_012303121.1		molecular chaperone DnaJ	dnaJ		DAUD_RS10430	1125	374	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2167378	2169201	-					dnaK		DAUD_RS10435	1824		old_locus_tag=Daud_2057
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2167378	2169201	-	WP_012303122.1	WP_012303122.1		molecular chaperone DnaK	dnaK		DAUD_RS10435	1824	607	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2169194	2169778	-					grpE		DAUD_RS10440	585		old_locus_tag=Daud_2058
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	2169194	2169778	-	WP_012303123.1	WP_012303123.1		nucleotide exchange factor GrpE	grpE		DAUD_RS10440	585	194	
