"MAPPED_TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk * 100"
"1368"	"thyroid volume"	5	1	4	83.3333333333333
"1369"	"thyroxine measurement"	2	1	1	66.6666666666667
"1370"	"ticagrelor measurement, acute coronary syndrome"	2	0	2	100
"1371"	"time to first cigarette measurement"	1	0	1	100
"1372"	"tissue factor measurement"	3	3	0	50
"1373"	"tissue plasminogen activator measurement"	3	1	2	75
"1374"	"TNF-related apoptosis-inducing ligand measurement"	4	0	4	100
"1375"	"tobacco smoke exposure measurement"	3	3	0	50
"1376"	"toll-like receptor 4:Lymphocyte antigen 96 complex measurement"	1	1	0	50
"1377"	"tonsillectomy risk measurement"	3	3	0	50
"1378"	"tooth eruption"	13	7	6	65
"1379"	"total blood protein measurement"	3	2	1	60
"1380"	"total cholesterol measurement"	466	256	210	64.5429362880887
"1381"	"total cholesterol measurement, C-reactive protein measurement"	6	1	5	85.7142857142857
"1382"	"total cholesterol measurement, coronary artery disease"	1	0	1	100
"1383"	"total iron binding capacity"	7	3	4	70
"1384"	"Tourette syndrome"	4	4	0	50
"1385"	"TPE interval measurement"	9	5	4	64.2857142857143
"1386"	"trans fatty acid measurement, trans-16:1n-7 fatty acid measurement"	3	2	1	60
"1387"	"trans fatty acid measurement, trans/trans-18:2 fatty acid measurement"	3	2	1	60
"1388"	"trans/cis-18:2 fatty acid measurement, trans fatty acid measurement"	1	0	1	100
"1389"	"transferrin measurement"	1	1	0	50
"1390"	"transferrin saturation measurement"	3	1	2	75
"1391"	"trauma exposure measurement"	4	1	3	80
"1392"	"treatment-resistant hypertension"	3	2	1	60
"1393"	"treatment refractory schizophrenia, response to clozapine"	1	1	0	50
"1394"	"trefoil factor 3 measurement"	1	1	0	50
"1395"	"triglyceride change measurement, response to exercise"	1	0	1	100
"1396"	"triglyceride measurement"	531	245	286	68.4278350515464
"1397"	"triglyceride measurement, alcohol consumption measurement"	32	13	19	71.1111111111111
"1398"	"triglyceride measurement, alcohol drinking"	65	29	36	69.1489361702128
"1399"	"triglyceride measurement, C-reactive protein measurement"	8	5	3	61.5384615384615
"1400"	"triglyceride measurement, high density lipoprotein cholesterol measurement"	3	1	2	75
"1401"	"triglyceride measurement, metabolic syndrome"	2	0	2	100
"1402"	"triglyceride measurement, physical activity"	3	1	2	75
"1403"	"triple-negative breast cancer"	1	0	1	100
"1404"	"trochanter size"	2	2	0	50
"1405"	"Tuberculosis"	5	1	4	83.3333333333333
"1406"	"Tuberculosis, response to anti-tuberculosis drug, drug-induced liver injury"	1	0	1	100
"1407"	"tumor necrosis factor-alpha measurement"	2	1	1	66.6666666666667
"1408"	"tumor necrosis factor beta measurement"	2	1	1	66.6666666666667
"1409"	"tumor necrosis factor ligand superfamily member 14 measurement"	1	0	1	100
"1410"	"tumor necrosis factor measurement"	2	1	1	66.6666666666667
"1411"	"tumor necrosis factor receptor II measurement"	2	2	0	50
"1412"	"tumor necrosis factor receptor superfamily member 6 measurement"	1	1	0	50
"1413"	"tumor necrosis factor, receptor superfamily, member 5 measurement"	1	1	0	50
"1414"	"type 1 diabetes nephropathy"	4	3	1	57.1428571428571
"1415"	"type 1 diabetes nephropathy, chronic kidney disease"	1	1	0	50
"1416"	"type I diabetes mellitus"	51	33	18	60.7142857142857
"1417"	"type I diabetes mellitus, chronic kidney disease"	1	1	0	50
"1418"	"type I diabetes mellitus, erectile dysfunction"	1	1	0	50
"1419"	"type II diabetes mellitus"	592	286	306	67.4259681093394
"1420"	"ulcerative colitis"	92	50	42	64.7887323943662
"1421"	"ulcerative colitis, Crohn's disease"	1	0	1	100
"1422"	"unipolar depression"	51	30	21	62.962962962963
"1423"	"unipolar depression, anxiety"	1	1	0	50
"1424"	"unipolar depression, autism spectrum disorder"	1	1	0	50
"1425"	"unipolar depression, bipolar disorder"	7	4	3	63.6363636363636
"1426"	"unipolar depression, mental or behavioural disorder, bipolar disorder"	1	1	0	50
"1427"	"unipolar depression, mood disorder"	3	2	1	60
"1428"	"unipolar depression, neuroticism measurement"	2	1	1	66.6666666666667
"1429"	"unipolar depression, response to ketamine, dissociation measurement, bipolar disorder"	2	0	2	100
"1430"	"unipolar depression, response to trauma exposure, trauma exposure measurement"	6	2	4	75
"1431"	"unipolar depression, schizophrenia"	5	3	2	62.5
"1432"	"unipolar depression, schizophrenia, bipolar disorder, attempted suicide"	6	0	6	100
"1433"	"unipolar depression, suicidal ideation, bipolar disorder"	1	1	0	50
"1434"	"upper aerodigestive tract neoplasm"	2	2	0	50
"1435"	"urate measurement"	146	75	71	66.0633484162896
"1436"	"urate measurement, body mass index"	8	3	5	72.7272727272727
"1437"	"urate measurement, overweight body mass index status"	11	6	5	64.7058823529412
"1438"	"urate measurement, underweight body mass index status"	6	4	2	60
"1439"	"uric acid measurement"	44	22	22	66.6666666666667
"1440"	"urinary albumin to creatinine ratio"	25	16	9	60.9756097560976
"1441"	"urinary metabolite measurement"	43	15	28	74.1379310344828
"1442"	"urinary nitrogen measurement"	2	0	2	100
"1443"	"urinary pH measurement"	2	2	0	50
"1444"	"urinary potassium to creatinine ratio"	1	0	1	100
"1445"	"urinary sodium to creatinine ratio"	2	0	2	100
"1446"	"urinary sodium to potassium ratio"	1	0	1	100
"1447"	"urinary uromodulin measurement"	1	0	1	100
"1448"	"urolithiasis"	1	1	0	50
"1449"	"uterine fibroid"	8	4	4	66.6666666666667
"1450"	"uterine fibroid measurement"	1	1	0	50
"1451"	"Uveal Melanoma"	2	2	0	50
"1452"	"vaccenic acid measurement"	2	2	0	50
"1453"	"Varicose veins"	4	1	3	80
"1454"	"vascular dementia"	1	0	1	100
"1455"	"vascular endothelial growth factor measurement"	3	1	2	75
"1456"	"vascular endothelial growth factor receptor 2 measurement"	1	1	0	50
"1457"	"vascular endothelial growth factor receptor 3 measurement"	1	1	0	50
"1458"	"vaspin measurement"	1	1	0	50
"1459"	"velocity of sound measurement"	5	3	2	62.5
"1460"	"venous thromboembolism"	19	16	3	54.2857142857143
"1461"	"ventricular ectopy"	1	1	0	50
"1462"	"ventricular enlargement measurement"	1	1	0	50
"1463"	"very long-chain saturated fatty acid measurement"	7	1	6	87.5
"1464"	"visceral adipose tissue measurement"	24	13	11	64.8648648648649
"1465"	"visceral adipose tissue measurement, body mass index"	14	9	5	60.8695652173913
"1466"	"visceral:subcutaneous adipose tissue ratio"	14	12	2	53.8461538461539
"1467"	"vital capacity"	17	12	5	58.6206896551724
"1468"	"vitamin A measurement"	1	1	0	50
"1469"	"vitamin B12 measurement"	8	7	1	53.3333333333333
"1470"	"vitamin B6 measurement"	1	0	1	100
"1471"	"vitamin D measurement"	35	15	20	70
"1472"	"vitamin D measurement, vitamin D dietary intake measurement"	1	0	1	100
"1473"	"vitamin E measurement"	1	1	0	50
"1474"	"vitamin K-dependent protein C measurement"	1	1	0	50
"1475"	"Vitiligo"	25	17	8	59.5238095238095
"1476"	"Vogt-Koyanagi-Harada disease"	1	0	1	100
"1477"	"volumetric bone mineral density"	6	4	2	60
"1478"	"von Willebrand factor measurement"	4	2	2	66.6666666666667
"1479"	"waist-hip ratio"	187	103	84	64.4827586206897
"1480"	"waist circumference"	61	37	24	62.2448979591837
"1481"	"waist circumference, triglyceride measurement, low density lipoprotein cholesterol measurement, cardiovascular disease, high density lipoprotein cholesterol measurement, age at assessment"	1	0	1	100
"1482"	"wellbeing measurement"	33	22	11	60
"1483"	"wet macular degeneration"	1	1	0	50
"1484"	"white matter hyperintensity measurement"	7	4	3	63.6363636363636
"1485"	"white matter lesion progression measurement"	1	1	0	50
"1486"	"word list delayed recall measurement, memory performance"	8	3	5	72.7272727272727
"1487"	"word reading"	2	0	2	100
"1488"	"worry measurement"	4	2	2	66.6666666666667
"1489"	"YKL40 measurement"	1	1	0	50
"1490"	"Yu-Zhi constitution type, type II diabetes mellitus"	1	1	0	50
