"DISEASE.TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk_d * 100"
"1311"	"Phosphatidylinositol levels"	5	0	5	100
"1312"	"Phosphorus levels"	2	2	0	50
"1313"	"Photic sneeze reflex"	1	0	1	100
"1314"	"Phytosterol levels"	1	1	0	50
"1315"	"Pit-and-Fissure caries"	4	3	1	57.1428571428571
"1316"	"Placental abruption"	2	0	2	100
"1317"	"Plasma anastrozole concentration in anastrozole-treated estrogen receptor positive breast cancer"	1	0	1	100
"1318"	"Plasma anti-thyroglobulin levels"	1	0	1	100
"1319"	"Plasma clozapine levels in treatment-resistant schizophrenia"	1	1	0	50
"1320"	"Plasma free amino acid levels"	6	2	4	75
"1321"	"Plasma free amino acid levels (adjusted for twenty other PFAAs)"	6	1	5	85.7142857142857
"1322"	"Plasma homocysteine levels (post-methionine load test)"	3	2	1	60
"1323"	"Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)"	10	9	1	52.6315789473684
"1324"	"Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid)"	12	9	3	57.1428571428571
"1325"	"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)"	2	1	1	66.6666666666667
"1326"	"Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)"	12	10	2	54.5454545454545
"1327"	"Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"	1	1	0	50
"1328"	"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"	8	8	0	50
"1329"	"Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)"	6	6	0	50
"1330"	"Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)"	5	4	1	55.5555555555556
"1331"	"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"	7	6	1	53.8461538461539
"1332"	"Plasma parathyroid hormone levels"	1	1	0	50
"1333"	"Plasma plasminogen activator levels"	3	1	2	75
"1334"	"Plasma proprotein convertase subtilisin/kexin type 9 levels in stable coronary artery disease"	2	2	0	50
"1335"	"Plasma renin activity levels"	1	1	0	50
"1336"	"Plasma t-tau levels"	1	1	0	50
"1337"	"Plasma thyroid-stimulating hormone levels"	1	0	1	100
"1338"	"Platelet-derived growth factor BB levels"	2	1	1	66.6666666666667
"1339"	"Platelet-derived growth factor subunit B levels"	2	0	2	100
"1340"	"Platelet aggregation"	18	16	2	52.9411764705882
"1341"	"Platelet count"	196	110	86	64.0522875816993
"1342"	"Platelet distribution width"	32	19	13	62.7450980392157
"1343"	"Platelet endothelial cell adhesion molecule levels"	1	1	0	50
"1344"	"Plateletcrit"	51	35	16	59.3023255813953
"1345"	"Pneumoconiosis in silica exposure"	1	1	0	50
"1346"	"Polycystic ovary syndrome"	15	6	9	71.4285714285714
"1347"	"Poor prognosis in Crohn's disease"	1	1	0	50
"1348"	"Positive affect"	5	4	1	55.5555555555556
"1349"	"Post bronchodilator FEV1"	47	25	22	65.2777777777778
"1350"	"Post bronchodilator FEV1 in COPD"	2	0	2	100
"1351"	"Post bronchodilator FEV1/FVC ratio"	53	28	25	65.4320987654321
"1352"	"Post bronchodilator FEV1/FVC ratio in COPD"	21	13	8	61.7647058823529
"1353"	"Post bronchodilator percent predicted FEV1 in smoking"	1	1	0	50
"1354"	"Postburn scar height"	2	1	1	66.6666666666667
"1355"	"Postprandial triglyceride levels"	2	0	2	100
"1356"	"Postprandial triglyceride response to high fat diet meal"	2	1	1	66.6666666666667
"1357"	"PR interval"	45	32	13	58.4415584415584
"1358"	"PR segment"	4	3	1	57.1428571428571
"1359"	"Pre-treatment viral load in HIV-1 infection"	3	2	1	60
"1360"	"Predicted suicide risk"	1	0	1	100
"1361"	"Predicted visceral adipose tissue"	11	10	1	52.3809523809524
"1362"	"Preeclampsia (maternal genotype effect)"	1	0	1	100
"1363"	"Preschool internalizing problems"	1	0	1	100
"1364"	"Preterm birth (maternal effect)"	1	1	0	50
"1365"	"Prevalent atrial fibrillation"	1	0	1	100
"1366"	"Primary biliary cholangitis"	34	26	8	56.6666666666667
"1367"	"Primary biliary cirrhosis"	5	3	2	62.5
"1368"	"Primary central nervous system lymphoma"	1	0	1	100
"1369"	"Primary sclerosing cholangitis"	9	7	2	56.25
"1370"	"Primary tooth development (number of teeth)"	10	6	4	62.5
"1371"	"Primary tooth development (time to first tooth eruption)"	14	8	6	63.6363636363636
"1372"	"Problematic alcohol use"	1	1	0	50
"1373"	"Problematic alcohol use (MTAG)"	3	1	2	75
"1374"	"Progranulin levels"	1	0	1	100
"1375"	"Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)"	1	0	1	100
"1376"	"Progression free survival in metastatic colorectal cancer (chemotherapy interaction)"	1	1	0	50
"1377"	"Progressive supranuclear palsy"	1	1	0	50
"1378"	"Proheparin-binding EGF-like growth factor levels"	1	1	0	50
"1379"	"Proinsulin levels"	5	1	4	83.3333333333333
"1380"	"Proportion of activated microglia (midfrontal cortex)"	1	0	1	100
"1381"	"Prostate-specific antigen levels"	12	4	8	75
"1382"	"Prostate-specific antigen levels (conditioned on lead SNPs)"	1	0	1	100
"1383"	"Prostate cancer"	214	96	118	69.0322580645161
"1384"	"Prostate cancer (advanced)"	4	3	1	57.1428571428571
"1385"	"Prostate cancer (early onset)"	4	2	2	66.6666666666667
"1386"	"Prostate cancer aggressiveness"	1	0	1	100
"1387"	"Protein C levels"	4	3	1	57.1428571428571
"1388"	"Prothrombin time"	1	1	0	50
"1389"	"Psoriasis"	77	47	30	62.0967741935484
"1390"	"Psoriasis vulgaris"	12	7	5	63.1578947368421
"1391"	"Psoriatic arthritis"	2	1	1	66.6666666666667
"1392"	"Psychosis (methamphetamine induced)"	1	0	1	100
"1393"	"Pubertal anthropometrics"	10	4	6	71.4285714285714
"1394"	"Puberty onset (genital enlargement)"	1	1	0	50
"1395"	"Pulmonary arterial hypertension"	1	1	0	50
"1396"	"Pulmonary emphysema"	3	1	2	75
"1397"	"Pulmonary function"	21	12	9	63.6363636363636
"1398"	"Pulmonary function (smoking interaction)"	19	7	12	73.0769230769231
"1399"	"Pulmonary function in asthmatics"	3	1	2	75
"1400"	"Pulse pressure"	112	50	62	69.1358024691358
"1401"	"Pulse pressure x alcohol consumption (light vs heavy) interaction (2df test)"	1	1	0	50
"1402"	"Pulse pressure x alcohol consumption interaction (2df test)"	3	3	0	50
"1403"	"Pursuit maintenance gain"	4	3	1	57.1428571428571
"1404"	"Putamen volume"	3	1	2	75
"1405"	"QRS duration"	51	41	10	55.4347826086957
"1406"	"QT dynamics during exercise"	3	0	3	100
"1407"	"QT dynamics during recovery from exercise"	1	0	1	100
"1408"	"QT interval"	53	37	16	58.8888888888889
"1409"	"QT interval (ambient particulate matter interaction)"	1	0	1	100
"1410"	"QT interval (drug interaction)"	6	4	2	60
"1411"	"Quantitative traits"	11	3	8	78.5714285714286
"1412"	"Random C-peptide levels in type I diabetes"	1	1	0	50
"1413"	"Rapid alternating stimulus test for letters/numbers"	1	1	0	50
"1414"	"Rapid automised naming and rapid alternating stimulus test performance"	1	1	0	50
"1415"	"Rapid automised naming of digits"	2	0	2	100
"1416"	"Rapid automised naming of letters"	4	2	2	66.6666666666667
"1417"	"Rapid automised naming of pictures"	3	0	3	100
"1418"	"Rate of cognitive decline in Alzheimer's disease"	15	0	15	100
"1419"	"Rate of cognitive decline in mild cognitive impairment (time interaction)"	1	1	0	50
"1420"	"Rate of ventricular enlargement"	1	1	0	50
"1421"	"Reading disability or specific language impairment adjusted for intelligence quotient (pleiotropy)"	1	1	0	50
"1422"	"Recalcitrant atopic dermatitis"	1	1	0	50
"1423"	"Receptor for advanced glycosylation end products levels"	1	1	0	50
"1424"	"Rectal cancer"	2	2	0	50
"1425"	"Recurrence of Clostridium difficile infection x bezlotuxumab treatment interaction (2df test)"	1	1	0	50
"1426"	"Recurrent major depressive disorder"	2	1	1	66.6666666666667
"1427"	"Red blood cell count"	126	79	47	61.4634146341463
"1428"	"Red blood cell traits"	37	27	10	57.8125
"1429"	"Red cell distribution width"	99	51	48	66
"1430"	"Red vs. brown/black hair color"	2	2	0	50
"1431"	"Refractive astigmatism"	7	2	5	77.7777777777778
"1432"	"Refractive error"	13	9	4	59.0909090909091
"1433"	"Refractory celiac disease type II"	1	1	0	50
"1434"	"Renal cell carcinoma"	4	3	1	57.1428571428571
"1435"	"Renal function-related traits (BUN)"	8	5	3	61.5384615384615
"1436"	"Renal function-related traits (eGRFcrea)"	4	3	1	57.1428571428571
"1437"	"Renal function-related traits (sCR)"	4	3	1	57.1428571428571
"1438"	"Renal function-related traits (urea)"	3	2	1	60
"1439"	"Renal function and chronic kidney disease"	2	1	1	66.6666666666667
"1440"	"Renal overload gout"	1	1	0	50
"1441"	"Renal sinus fat"	2	1	1	66.6666666666667
"1442"	"Renal underexcretion gout"	5	2	3	71.4285714285714
"1443"	"Resistance to antihypertensive treatment in hypertension"	1	0	1	100
"1444"	"Resistant hypertension"	2	2	0	50
"1445"	"Resistin levels"	5	5	0	50
"1446"	"Response to alcohol consumption (flushing response)"	1	0	1	100
"1447"	"Response to angiotensin II receptor blocker therapy"	1	1	0	50
"1448"	"Response to anti-depressant treatment in major depressive disorder"	2	1	1	66.6666666666667
"1449"	"Response to antidepressants"	1	1	0	50
"1450"	"Response to antineoplastic agents"	2	2	0	50
"1451"	"Response to antipsychotic treatment"	2	2	0	50
"1452"	"Response to bleomycin (chromatid breaks)"	2	2	0	50
"1453"	"Response to citalopram treatment"	4	2	2	66.6666666666667
"1454"	"Response to cognitive-behavioural therapy in anxiety disorder"	1	1	0	50
"1455"	"Response to Dalcetrapib treatment in acute coronary syndrome"	1	0	1	100
"1456"	"Response to diuretic therapy in hypertension"	1	0	1	100
"1457"	"Response to exercise (triglyceride level interaction)"	1	0	1	100
"1458"	"Response to fenofibrate"	2	2	0	50
"1459"	"Response to haloperidol in schizophrenia"	1	1	0	50
"1460"	"Response to hepatitis C treatment"	9	6	3	60
"1461"	"Response to iloperidone treatment (QT prolongation)"	3	1	2	75
"1462"	"Response to interferon beta therapy"	1	0	1	100
"1463"	"Response to irinotecan and platinum-based chemotherapy in non-small-cell lung cancer"	1	1	0	50
"1464"	"Response to irinotecan in non-small-cell lung cancer"	1	1	0	50
"1465"	"Response to ketamine in bipolar disorder or major depression (dissociation effects)"	2	0	2	100
"1466"	"Response to lithium treatment in bipolar disorder"	1	0	1	100
"1467"	"Response to methotrexate in rheumatoid arthritis"	1	0	1	100
"1468"	"Response to montelukast in asthma (change in FEV1)"	2	1	1	66.6666666666667
"1469"	"Response to olanzapine in schizophrenia"	1	1	0	50
"1470"	"Response to opioid analgesics in cancer (pain decrease)"	1	1	0	50
"1471"	"Response to paliperidone in schizophrenia (CGI-S score)"	1	0	1	100
"1472"	"Response to paliperidone in schizophrenia (negative Marder score)"	5	1	4	83.3333333333333
"1473"	"Response to paliperidone in schizophrenia (PANSS score)"	3	0	3	100
"1474"	"Response to paliperidone in schizophrenia (positive Marder score)"	5	0	5	100
"1475"	"Response to perphenazine in schizophrenia"	1	0	1	100
"1476"	"Response to platinum-based chemotherapy in non-small-cell lung cancer"	1	0	1	100
"1477"	"Response to quetiapine in schizophrenia"	2	2	0	50
"1478"	"Response to radiotherapy in prostate cancer (overall toxicity)"	1	1	0	50
"1479"	"Response to radiotherapy in prostate cancer (toxicity, rectal bleeding)"	1	1	0	50
"1480"	"Response to radiotherapy in prostate cancer (toxicity, urinary frequency)"	2	1	1	66.6666666666667
"1481"	"Response to risperidone in schizophrenia"	1	1	0	50
"1482"	"Response to simvastatin treatment (PCSK9 protein level change)"	1	1	0	50
"1483"	"Response to statin therapy"	6	5	1	54.5454545454545
"1484"	"Response to statins (LDL cholesterol change)"	4	4	0	50
"1485"	"Response to statins (LDL cholesterol percent change)"	2	2	0	50
"1486"	"Response to tamoxifen in breast cancer"	1	1	0	50
"1487"	"Response to tamoxifen in oestrogen receptor positive/HER2 negative breast cancer"	1	0	1	100
"1488"	"Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine)"	1	1	0	50
"1489"	"Response to TNF antagonist treatment"	4	3	1	57.1428571428571
"1490"	"Resting-state electroencephalogram vigilance"	2	1	1	66.6666666666667
"1491"	"Resting heart rate"	18	9	9	66.6666666666667
"1492"	"Resting metabolic rate"	1	1	0	50
"1493"	"Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)"	1	0	1	100
"1494"	"Restless legs syndrome"	7	3	4	70
"1495"	"Reticulocyte count"	40	24	16	62.5
"1496"	"Reticulocyte fraction of red cells"	39	21	18	65
"1497"	"Retinal arteriolar caliber"	2	0	2	100
"1498"	"Retinal vascular caliber"	2	2	0	50
"1499"	"Retinol levels"	1	1	0	50
"1500"	"Retinopathy in non-diabetics"	1	1	0	50
"1501"	"Retinopathy x type 2 diabetes interaction"	1	0	1	100
"1502"	"Rheumatoid arthritis"	201	121	80	62.4223602484472
"1503"	"Rheumatoid arthritis (ACPA-positive)"	15	10	5	60
"1504"	"Right-sided colonic diverticulosis"	1	0	1	100
"1505"	"Risk-taking tendency (4-domain principal component model)"	3	2	1	60
"1506"	"Rosacea symptom severity"	11	2	9	84.6153846153846
"1507"	"RR interval (heart rate)"	3	2	1	60
"1508"	"Sagittal craniosynostosis"	2	2	0	50
"1509"	"Salivary metabolite levels"	1	1	0	50
"1510"	"Sarcoidosis"	1	0	1	100
"1511"	"Schizophrenia"	271	143	128	65.4589371980676
"1512"	"Schizophrenia, bipolar disorder and depression (combined)"	1	1	0	50
"1513"	"Sclerosing cholangitis and ulcerative colitis (combined)"	2	1	1	66.6666666666667
"1514"	"Seasonality"	1	0	1	100
"1515"	"Self-rated health"	2	1	1	66.6666666666667
"1516"	"Self-reported allergy"	10	9	1	52.6315789473684
"1517"	"Self-reported math ability"	29	13	16	69.0476190476191
"1518"	"Self-reported math ability (MTAG)"	35	22	13	61.4035087719298
"1519"	"Self-reported risk-taking behaviour"	4	0	4	100
"1520"	"Sense of smell"	1	0	1	100
"1521"	"Serous borderline ovarian cancer"	2	2	0	50
"1522"	"Serous invasive ovarian cancer"	3	2	1	60
"1523"	"Serum 25-Hydroxyvitamin D levels"	28	11	17	71.7948717948718
"1524"	"Serum albumin level"	3	3	0	50
"1525"	"Serum alkaline phosphatase levels"	23	11	12	67.6470588235294
"1526"	"Serum alpha1-antitrypsin levels"	1	0	1	100
"1527"	"Serum bilirubin levels in metabolic syndrome"	5	5	0	50
"1528"	"Serum bilirubin levels x Mediterranean diet adherence interaction in metabolic syndrome"	7	5	2	58.3333333333333
"1529"	"Serum cancer antigen 19.9 levels"	1	1	0	50
"1530"	"Serum carcinoembryonic antigen levels"	4	4	0	50
"1531"	"Serum creatinine levels"	1	0	1	100
"1532"	"Serum docosahexaenoic fatty acid concentration in metabolic syndrome"	1	1	0	50
"1533"	"Serum galactose-deficient IgA1 levels"	1	1	0	50
"1534"	"Serum immune biomarker levels"	3	0	3	100
"1535"	"Serum lipase activity"	1	1	0	50
"1536"	"Serum metabolite concentrations in chronic kidney disease"	10	9	1	52.6315789473684
"1537"	"Serum metabolite levels"	8	5	3	61.5384615384615
"1538"	"Serum metabolite ratios in chronic kidney disease"	86	85	1	50.2923976608187
"1539"	"Serum omega-3 polyunsaturated fatty acid concentration in metabolic syndrome"	1	1	0	50
"1540"	"Serum omega-6 to omega-3 polyunsaturated fatty acid ratio in metabolic syndrome"	2	1	1	66.6666666666667
"1541"	"Serum oxytocin levels"	1	1	0	50
"1542"	"Serum polyunsaturated fatty acid concentration x Mediterranean diet adherence interaction in metabolic syndrome"	1	1	0	50
"1543"	"Serum prostate-specific antigen levels"	5	1	4	83.3333333333333
"1544"	"Serum protein levels (sST2)"	2	1	1	66.6666666666667
"1545"	"Serum tamsulosin hydrochloride concentration"	3	0	3	100
"1546"	"Serum thyroid-stimulating hormone levels"	3	3	0	50
"1547"	"Serum total protein level"	3	2	1	60
"1548"	"Serum urea levels"	1	1	0	50
"1549"	"Serum uric acid levels"	32	16	16	66.6666666666667
"1550"	"Severe COVID-19 infection with respiratory failure (analysis I)"	1	1	0	50
"1551"	"Severe COVID-19 infection with respiratory failure (analysis II)"	1	1	0	50
"1552"	"Severity of nausea and vomiting of pregnancy"	1	0	1	100
"1553"	"Sex hormone-binding globulin levels"	115	51	64	69.2771084337349
"1554"	"Sex hormone-binding globulin levels adjusted for BMI"	102	43	59	70.3448275862069
"1555"	"Sex hormone levels"	2	2	0	50
"1556"	"Sexual dimorphism in anthropometric traits"	3	3	0	50
"1557"	"Sexual dysfunction (female)"	1	0	1	100
"1558"	"Shingles"	1	0	1	100
"1559"	"Short-term memory (digit-span task)"	1	0	1	100
"1560"	"Shoulder impingement syndrome"	2	0	2	100
"1561"	"Sickle cell anemia (haemolysis)"	1	0	1	100
"1562"	"Sitting height ratio"	8	1	7	88.8888888888889
"1563"	"Sj**gren's syndrome"	3	2	1	60
"1564"	"Skin aging (microtopography measurement)"	1	1	0	50
"1565"	"Skin colour saturation"	2	2	0	50
"1566"	"Skin pigmentation"	7	6	1	53.8461538461539
"1567"	"Skin reflectance (Melanin index)"	2	2	0	50
"1568"	"Skin sensitivity to sun"	1	1	0	50
"1569"	"Sleep (number of episodes)"	1	1	0	50
"1570"	"Sleep duration"	7	5	2	58.3333333333333
"1571"	"Sleep duration (oversleepers vs undersleepers)"	1	1	0	50
"1572"	"Sleep duration (short sleep)"	1	1	0	50
"1573"	"Small vessel stroke"	2	2	0	50
"1574"	"Smoking behavior"	8	5	3	61.5384615384615
"1575"	"Smoking behaviour (cigarette pack-years)"	3	3	0	50
"1576"	"Smoking behaviour (cigarettes smoked per day)"	12	9	3	57.1428571428571
"1577"	"Smoking cessation"	4	3	1	57.1428571428571
"1578"	"Smoking cessation (MTAG)"	5	4	1	55.5555555555556
"1579"	"Smoking initiation"	7	5	2	58.3333333333333
"1580"	"Smoking initiation (ever regular vs never regular)"	26	20	6	56.5217391304348
"1581"	"Smoking initiation (ever regular vs never regular) (MTAG)"	39	28	11	58.2089552238806
"1582"	"Smoking status (ever vs never smokers)"	16	9	7	64
"1583"	"Smooth-surface caries"	6	0	6	100
"1584"	"Snoring"	11	1	10	91.6666666666667
"1585"	"Soluble E-selectin levels"	1	1	0	50
"1586"	"Soluble gp130 levels"	1	0	1	100
"1587"	"Soluble ICAM-1"	5	2	3	71.4285714285714
"1588"	"Soluble levels of adhesion molecules"	2	1	1	66.6666666666667
"1589"	"Spatial processing"	1	1	0	50
"1590"	"Speech perception in dyslexia"	2	2	0	50
"1591"	"Spherical equivalent"	28	13	15	68.2926829268293
"1592"	"Spherical equivalent (joint analysis main effects and education interaction)"	12	8	4	60
"1593"	"Spherical equivalent or myopia (age of diagnosis)"	19	12	7	61.2903225806452
"1594"	"Sphingolipid levels"	8	8	0	50
"1595"	"Sphingomyelin levels"	1	1	0	50
"1596"	"Spine bone size"	3	3	0	50
"1597"	"Spontaneous adipocyte lipolysis"	2	0	2	100
"1598"	"Spontaneous coronary artery dissection"	6	6	0	50
"1599"	"Spontaneous dizygotic twinning"	1	0	1	100
"1600"	"Sporadic neuroblastoma"	1	1	0	50
"1601"	"Squamous cell carcinoma"	6	5	1	54.5454545454545
"1602"	"Squamous cell lung carcinoma"	6	3	3	66.6666666666667
"1603"	"ST2 protein levels"	2	1	1	66.6666666666667
"1604"	"Stearic acid (18:0) levels"	6	2	4	75
"1605"	"Stem cell factor levels"	6	5	1	54.5454545454545
"1606"	"Stem cell growth factor beta levels"	1	0	1	100
"1607"	"Stimulated adipocyte lipolysis"	2	1	1	66.6666666666667
"1608"	"Stress sensitivity (neuroticism score x major depressive disorder status interaction)"	2	1	1	66.6666666666667
"1609"	"Stroke"	1	1	0	50
"1610"	"Stroke (ischemic)"	4	1	3	80
"1611"	"Stromal-cell-derived factor 1 alpha levels"	2	0	2	100
"1612"	"Subcortical brain region volumes"	6	2	4	75
"1613"	"Subcutaneous adipose tissue"	11	6	5	64.7058823529412
"1614"	"Subjective response to lithium treatment"	1	1	0	50
"1615"	"Subjective well-being"	6	3	3	66.6666666666667
"1616"	"Subjective well-being (MTAG)"	4	2	2	66.6666666666667
"1617"	"Sucrose liking"	1	0	1	100
"1618"	"Suffering from nerves"	1	0	1	100
"1619"	"Suicidal ideation"	2	0	2	100
"1620"	"Suicidal ideation in depression or bipolar disorder"	1	1	0	50
"1621"	"Suicidal or self-harm ideation"	1	1	0	50
"1622"	"Suicide attempts"	1	0	1	100
"1623"	"Suicide attempts in bipolar disorder or schizophrenia"	1	0	1	100
"1624"	"Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia"	6	0	6	100
"1625"	"Suicide ideation score in major depressive disorder"	1	1	0	50
"1626"	"Sum basophil neutrophil counts"	13	8	5	61.9047619047619
"1627"	"Sum eosinophil basophil counts"	6	5	1	54.5454545454545
"1628"	"Sum neutrophil eosinophil counts"	13	9	4	59.0909090909091
"1629"	"Sunburns"	2	1	1	66.6666666666667
"1630"	"Superior frontal gyrus grey matter volume"	2	0	2	100
"1631"	"Survival in pancreatic cancer"	6	2	4	75
"1632"	"Susceptibility to persistent hepatitis B virus infection"	2	2	0	50
"1633"	"Sweet beverage consumption"	2	2	0	50
"1634"	"Sweet taste perception in obesity with metabolic syndrome"	1	0	1	100
"1635"	"Sweet taste preference"	1	1	0	50
"1636"	"Systemic lupus erythematosus"	65	51	14	56.0344827586207
"1637"	"Systemic sclerosis"	7	6	1	53.8461538461539
"1638"	"Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)"	3	3	0	50
"1639"	"Systolic blood pressure"	198	112	86	63.8709677419355
"1640"	"Systolic blood pressure (long-term average)"	1	0	1	100
"1641"	"Systolic blood pressure change trajectories"	1	1	0	50
"1642"	"Systolic blood pressure response to hydrochlorothiazide in hypertension"	1	1	0	50
"1643"	"Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)"	4	1	3	80
"1644"	"Systolic blood pressure x alcohol consumption interaction (2df test)"	8	4	4	66.6666666666667
"1645"	"Systolic blood pressure x quantitative lifestyle risk score interaction (2df test)"	1	0	1	100
"1646"	"T-Cell Immunoglobulin and Mucin domain 1 levels"	1	1	0	50
"1647"	"T wave morphology restitution during exercise"	1	0	1	100
"1648"	"T wave morphology restitution during exercise (MTAG)"	1	0	1	100
"1649"	"T wave morphology restitution during recovery from exercise"	1	0	1	100
"1650"	"T wave morphology restitution during recovery from exercise (MTAG)"	1	0	1	100
"1651"	"Takayasu arteritis"	2	1	1	66.6666666666667
"1652"	"Tanning"	6	3	3	66.6666666666667
"1653"	"Taste perception (total score including phenylthiocarbamide) in obesity with metabolic syndrome"	1	1	0	50
"1654"	"Taxane-induced peripheral neuropathy in breast cancer"	1	1	0	50
"1655"	"TB-LM or TBLH-BMD (pleiotropy)"	3	3	0	50
"1656"	"Tea consumption"	7	4	3	63.6363636363636
"1657"	"Telomere length"	9	7	2	56.25
"1658"	"Temperament"	6	4	2	60
"1659"	"Testicular cancer"	3	1	2	75
"1660"	"Testicular germ cell cancer"	2	1	1	66.6666666666667
"1661"	"Testicular germ cell tumor"	51	36	15	58.6206896551724
"1662"	"Testosterone levels"	1	1	0	50
"1663"	"Tetralogy of Fallot"	4	3	1	57.1428571428571
"1664"	"Thiazide-induced adverse metabolic effects in hypertensive patients"	9	6	3	60
"1665"	"Thiopurine-induced leukopenia in inflammatory bowel disease"	1	0	1	100
"1666"	"Thyroid cancer"	8	8	0	50
"1667"	"Thyroid cancer (Papillary, radiation-related)"	1	1	0	50
"1668"	"Thyroid function"	2	0	2	100
"1669"	"Thyroid hormone levels"	36	24	12	60
"1670"	"Thyroid peroxidase antibody levels"	4	3	1	57.1428571428571
"1671"	"Thyroid peroxidase antibody positivity"	2	2	0	50
"1672"	"Thyroid stimulating hormone levels"	9	6	3	60
"1673"	"Thyroid volume"	5	1	4	83.3333333333333
"1674"	"Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor"	2	0	2	100
"1675"	"Time to smoke first cigarette in the morning"	1	0	1	100
"1676"	"Tissue factor levels"	2	2	0	50
"1677"	"TNF-related apoptosis-inducing ligand receptor 2 levels"	1	0	1	100
"1678"	"Toenail selenium levels"	4	2	2	66.6666666666667
"1679"	"Tonsillectomy"	3	3	0	50
"1680"	"Total bilirubin levels in HIV-1 infection"	1	1	0	50
"1681"	"Total body bone mineral density"	19	6	13	76
"1682"	"Total body bone mineral density (age 0-15)"	1	0	1	100
"1683"	"Total body bone mineral density (age 30-45)"	1	0	1	100
"1684"	"Total body bone mineral density (age 45-60)"	4	1	3	80
"1685"	"Total body bone mineral density (age over 60)"	5	3	2	62.5
"1686"	"Total body bone mineral density (MTAG)"	1	1	0	50
"1687"	"Total cholesterol levels"	381	191	190	66.6083916083916
"1688"	"Total testosterone levels"	65	23	42	73.8636363636364
"1689"	"Total triglycerides levels"	4	1	3	80
"1690"	"Tourette syndrome"	4	4	0	50
"1691"	"TPE interval (resting)"	8	4	4	66.6666666666667
"1692"	"TRAIL levels"	4	0	4	100
"1693"	"Trans fatty acid levels"	41	33	8	55.4054054054054
"1694"	"Trauma exposure"	4	1	3	80
"1695"	"Trauma exposure in major depressive disorder-negative individuals"	2	1	1	66.6666666666667
"1696"	"Triacylglyceride levels"	8	0	8	100
"1697"	"Triglyceride levels"	146	66	80	68.8679245283019
"1698"	"Triglyceride levels in current drinkers"	30	12	18	71.4285714285714
"1699"	"Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)"	35	17	18	67.3076923076923
"1700"	"Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)"	32	13	19	71.1111111111111
"1701"	"Triglycerides"	363	176	187	67.3469387755102
"1702"	"Triglycerides x physical activity interaction (2df test)"	3	1	2	75
"1703"	"Trochanter size"	2	2	0	50
"1704"	"Trunk fat mass"	2	0	2	100
"1705"	"Tuberculosis"	5	1	4	83.3333333333333
"1706"	"Tumor biomarkers"	2	1	1	66.6666666666667
"1707"	"Tumor necrosis factor alpha levels"	1	0	1	100
"1708"	"Tumor necrosis factor beta levels"	2	1	1	66.6666666666667
"1709"	"Tumor necrosis factor levels"	2	1	1	66.6666666666667
"1710"	"Tumor necrosis factor receptor 2 levels"	2	2	0	50
"1711"	"Tumor necrosis factor receptor superfamily member 5 levels"	1	1	0	50
"1712"	"Tumor necrosis factor receptor superfamily member 6 levels"	1	1	0	50
"1713"	"Two-hour glucose challenge"	2	1	1	66.6666666666667
"1714"	"Type 1 diabetes"	50	32	18	60.9756097560976
"1715"	"Type 1 diabetes and autoimmune thyroid diseases"	2	2	0	50
"1716"	"Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)"	2	2	0	50
"1717"	"Type 1 diabetes nephropathy"	4	3	1	57.1428571428571
"1718"	"Type 2 diabetes"	557	272	285	67.189384800965
"1719"	"Type 2 diabetes (adjusted for BMI)"	31	13	18	70.4545454545455
"1720"	"Type 2 diabetes nephropathy"	2	0	2	100
"1721"	"Ulcerative colitis"	91	49	42	65
"1722"	"Ulcerative colitis or Crohn's disease"	1	0	1	100
"1723"	"Ultradistal forearm bone mineral density"	1	1	0	50
"1724"	"Upper eyelid morphology"	1	1	0	50
"1725"	"Upper eyelid sagging severity"	1	1	0	50
"1726"	"Urate levels"	147	76	71	65.9192825112108
"1727"	"Urate levels (BMI interaction)"	8	3	5	72.7272727272727
"1728"	"Urate levels in lean individuals"	6	4	2	60
"1729"	"Urate levels in obese individuals"	3	1	2	75
"1730"	"Urate levels in overweight individuals"	11	6	5	64.7058823529412
"1731"	"Uric acid levels"	10	5	5	66.6666666666667
